Date,Ticker,Company Name,Open Price,High Price,Low Price,Close Price,Volume,Sector,Region,Country,% Change,Gain/Loss Indicator,Market Cap,P/E Ratio,Dividend Yield
2024-01-01,AAPL,Apple Inc.,87.48,89.45,75.94,84.89,869427,Technology,North America,USA,-2.96,Loss,667.91,32.8,5.22
2024-01-02,AAPL,Apple Inc.,206.42,207.64999999999998,193.45000000000002,199.33,640293,Technology,North America,USA,-3.43,Loss,2991.86,20.23,1.26
2024-01-03,AAPL,Apple Inc.,442.53,444.48999999999995,419.61,420.6,524798,Technology,North America,USA,-4.96,Loss,5508.69,44.92,7.01
2024-01-04,AAPL,Apple Inc.,446.86,452.77000000000004,419.55,424.91,932196,Technology,North America,USA,-4.91,Loss,3879.26,20.08,6.28
2024-01-05,AAPL,Apple Inc.,243.25,247.75,229.35,232.92,915480,Technology,North America,USA,-4.25,Loss,1967.3,38.46,1.99
2024-01-06,AAPL,Apple Inc.,496.24,509.74,489.07,499.98,524408,Technology,North America,USA,0.75,Gain,3797.15,45.79,3.11
2024-01-07,AAPL,Apple Inc.,386.6,396.75,386.21000000000004,395.85,432317,Technology,North America,USA,2.39,Gain,6228.25,42.45,0.52
2024-01-08,AAPL,Apple Inc.,203.67,207.76,196.18,202.69,842024,Technology,North America,USA,-0.48,Loss,3241.52,13.16,2.93
2024-01-09,AAPL,Apple Inc.,219.92,232.37,211.31,228.38,328682,Technology,North America,USA,3.85,Gain,3950.35,10.63,3.67
2024-01-10,AAPL,Apple Inc.,51.04,53.589999999999996,43.42,53.16,911489,Technology,North America,USA,4.15,Gain,481.3,14.64,8.95
2024-01-11,AAPL,Apple Inc.,128.49,137.56,120.79,125.79,85162,Technology,North America,USA,-2.1,Loss,652.77,37.47,7.12
2024-01-12,AAPL,Apple Inc.,317.54,324.81,305.63,308.94,962084,Technology,North America,USA,-2.71,Loss,2320.3,25.57,3.85
2024-01-13,AAPL,Apple Inc.,53.17,58.42,51.830000000000005,52.31,276942,Technology,North America,USA,-1.62,Loss,935.72,49.65,0.01
2024-01-14,AAPL,Apple Inc.,426.07,446.23,420.25,441.69,222739,Technology,North America,USA,3.67,Gain,4594.14,13.56,6.06
2024-01-15,AAPL,Apple Inc.,292.66,300.76000000000005,276.63,283.01,656720,Technology,North America,USA,-3.3,Loss,3850.38,45.56,1.01
2024-01-16,AAPL,Apple Inc.,96.94,102.37,89.35,101.09,759944,Technology,North America,USA,4.28,Gain,1243.4,11.15,1.78
2024-01-17,AAPL,Apple Inc.,340.98,350.45000000000005,329.59999999999997,332.27,74540,Technology,North America,USA,-2.55,Loss,4169.15,42.97,2.28
2024-01-18,AAPL,Apple Inc.,252.43,273.77000000000004,247.88,264.05,927730,Technology,North America,USA,4.6,Gain,4941.32,15.65,5.46
2024-01-19,AAPL,Apple Inc.,458.93,465.57,430.59999999999997,440.4,920060,Technology,North America,USA,-4.04,Loss,4468.46,39.41,8.39
2024-01-20,AAPL,Apple Inc.,420.44,422.19,413.48,418.26,331624,Technology,North America,USA,-0.52,Loss,6409.29,20.89,7.26
2024-01-21,AAPL,Apple Inc.,182.05,183.86,172.83,177.65,890786,Technology,North America,USA,-2.42,Loss,2357.07,12.88,2.21
2024-01-22,AAPL,Apple Inc.,447.07,451.58000000000004,446.90999999999997,449.42,699092,Technology,North America,USA,0.53,Gain,6907.52,35.24,9.63
2024-01-23,AAPL,Apple Inc.,481.46,485.91999999999996,464.75,466.87,873052,Technology,North America,USA,-3.03,Loss,4035.6,44.48,1.23
2024-01-24,AAPL,Apple Inc.,255.19,262.73,247.26,261.48,321867,Technology,North America,USA,2.46,Gain,3285.11,37.12,2.56
2024-01-25,AAPL,Apple Inc.,86.79,91.17,77.46000000000001,90.05,733729,Technology,North America,USA,3.76,Gain,1407.97,35.3,4.52
2024-01-26,AAPL,Apple Inc.,260.08,272.85,259.99,262.99,685804,Technology,North America,USA,1.12,Gain,1721.87,10.04,7.16
2024-01-27,AAPL,Apple Inc.,435.18,441.96,422.11999999999995,428.59,306934,Technology,North America,USA,-1.51,Loss,3322.78,47.95,3.98
2024-01-28,AAPL,Apple Inc.,407.88,421.18,399.75,417.05,328646,Technology,North America,USA,2.25,Gain,5856.0,42.47,2.61
2024-01-29,AAPL,Apple Inc.,351.54,365.65,347.94,360.0,925768,Technology,North America,USA,2.41,Gain,2817.84,44.58,6.0
2024-01-30,AAPL,Apple Inc.,345.19,360.83,345.16,351.84,143612,Technology,North America,USA,1.93,Gain,4930.05,43.88,1.6
2024-01-31,AAPL,Apple Inc.,218.19,223.13,207.57,211.12,794882,Technology,North America,USA,-3.24,Loss,1362.53,29.65,7.67
2024-02-01,AAPL,Apple Inc.,389.62,398.31,372.87,377.35,330159,Technology,North America,USA,-3.15,Loss,2960.54,11.95,7.28
2024-02-02,AAPL,Apple Inc.,416.34,434.11,416.16999999999996,426.07,530506,Technology,North America,USA,2.34,Gain,6492.45,48.97,1.56
2024-02-03,AAPL,Apple Inc.,294.47,308.37,293.45000000000005,304.92,547866,Technology,North America,USA,3.55,Gain,1686.68,12.8,6.64
2024-02-04,AAPL,Apple Inc.,195.2,199.64,189.64,195.75,886259,Technology,North America,USA,0.28,Gain,2145.59,31.12,4.85
2024-02-05,AAPL,Apple Inc.,458.44,483.77,456.78,480.12,904162,Technology,North America,USA,4.73,Gain,2782.2,24.92,8.21
2024-02-06,AAPL,Apple Inc.,97.87,105.24,88.81,99.97,262131,Technology,North America,USA,2.15,Gain,721.8,6.46,1.82
2024-02-07,AAPL,Apple Inc.,63.29,67.72,60.93,66.17,678229,Technology,North America,USA,4.55,Gain,649.24,37.78,6.33
2024-02-08,AAPL,Apple Inc.,432.04,456.12,427.20000000000005,450.77,86163,Technology,North America,USA,4.34,Gain,6891.4,26.17,5.57
2024-02-09,AAPL,Apple Inc.,237.27,246.32,231.66,239.25,300578,Technology,North America,USA,0.83,Gain,2527.23,15.51,8.72
2024-02-10,AAPL,Apple Inc.,226.81,229.52,216.76999999999998,217.76,755965,Technology,North America,USA,-3.99,Loss,1658.49,34.47,4.89
2024-02-11,AAPL,Apple Inc.,423.45,430.44,404.55,409.26,682349,Technology,North America,USA,-3.35,Loss,3087.17,16.94,7.61
2024-02-12,AAPL,Apple Inc.,165.11,174.98999999999998,156.06,171.92,787559,Technology,North America,USA,4.12,Gain,2128.98,25.26,0.43
2024-02-13,AAPL,Apple Inc.,73.73,83.43,62.14999999999999,70.46,648983,Technology,North America,USA,-4.44,Loss,714.1,29.57,2.84
2024-02-14,AAPL,Apple Inc.,169.53,177.54999999999998,166.05,174.82,46447,Technology,North America,USA,3.12,Gain,1062.31,17.89,4.9
2024-02-15,AAPL,Apple Inc.,430.79,438.34000000000003,414.71999999999997,414.89,653058,Technology,North America,USA,-3.69,Loss,8026.2,9.59,5.5
2024-02-16,AAPL,Apple Inc.,137.5,146.25,131.34,139.81,231586,Technology,North America,USA,1.68,Gain,838.12,20.03,8.13
2024-02-17,AAPL,Apple Inc.,107.62,113.06,106.86,111.78,278889,Technology,North America,USA,3.87,Gain,794.53,44.78,9.78
2024-02-18,AAPL,Apple Inc.,277.13,285.61,271.21,277.03,20892,Technology,North America,USA,-0.04,Loss,1688.9,19.24,9.93
2024-02-19,AAPL,Apple Inc.,182.14,196.23,178.6,186.67,745578,Technology,North America,USA,2.49,Gain,2166.74,25.92,0.91
2024-02-20,AAPL,Apple Inc.,251.77,261.90000000000003,251.29000000000002,256.8,77739,Technology,North America,USA,2.0,Gain,4830.4,40.81,4.9
2024-02-21,AAPL,Apple Inc.,342.27,350.13,332.91999999999996,345.13,409869,Technology,North America,USA,0.84,Gain,2381.65,32.43,6.02
2024-02-22,AAPL,Apple Inc.,305.23,313.62,290.27,298.27,884906,Technology,North America,USA,-2.28,Loss,4241.65,26.97,1.03
2024-02-23,AAPL,Apple Inc.,424.3,431.19,411.40999999999997,416.33,132646,Technology,North America,USA,-1.88,Loss,4660.48,37.08,9.63
2024-02-24,AAPL,Apple Inc.,477.97,485.37,471.63,475.44,247405,Technology,North America,USA,-0.53,Loss,9472.64,47.76,3.66
2024-02-25,AAPL,Apple Inc.,331.78,354.87,330.63,347.68,563727,Technology,North America,USA,4.79,Gain,5782.22,16.07,7.3
2024-02-26,AAPL,Apple Inc.,298.79,309.84999999999997,297.01000000000005,306.83,590143,Technology,North America,USA,2.69,Gain,4156.42,47.8,9.92
2024-02-27,AAPL,Apple Inc.,61.2,66.42999999999999,53.61,63.73,650638,Technology,North America,USA,4.13,Gain,1187.63,43.89,7.36
2024-02-28,AAPL,Apple Inc.,187.36,196.04000000000002,178.58,194.02,399622,Technology,North America,USA,3.55,Gain,2906.26,44.21,0.26
2024-02-29,AAPL,Apple Inc.,359.58,360.91999999999996,340.14000000000004,341.73,173154,Technology,North America,USA,-4.96,Loss,5804.63,11.22,3.74
2024-03-01,AAPL,Apple Inc.,66.93,71.18,59.86,66.44,903809,Technology,North America,USA,-0.73,Loss,1104.36,26.3,1.31
2024-03-02,AAPL,Apple Inc.,154.44,155.57,152.76999999999998,154.1,766053,Technology,North America,USA,-0.22,Loss,2658.31,33.38,9.57
